# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15065
#@/user_id	brainocean_emacs
a 	啊	c=20 d=0.118374 t=15065
bu shi shuo 	不是說	c=1 d=3.68506e-21 t=15065
bu shi ting ke le ma 	不是停課了嗎	c=1 d=0.0393602 t=15065
bu shi yi ge 	不是一個	c=1 d=4.48856e-18 t=15065
bu shi yi ge lin shi 	不是一個臨時	c=1 d=1.70183e-20 t=15065
bu shi zhan yong xiu xian shi jian 	不是佔用休閒時間	c=1 d=0.246597 t=15065
bu shi zhi you 	不是只有	c=1 d=2.51964e-19 t=15065
bu shou 	不受	c=0 d=0.0242926 t=15065
bu shou qi ta shi qing de fen xin gan rao 	不受其他事情的分心干擾	c=1 d=0.244143 t=15065
bu shu 	部署	c=2 d=0.000169103 t=15065
bu shu huan jing 	部署環境	c=1 d=0.000128446 t=15065
bu shuo bu zuo 	不說不做	c=1 d=1.74853e-15 t=15065
bu suan 	不算	c=1 d=0.0440432 t=15065
bu suan ni 	不算你	c=1 d=0.442639 t=15065
bu tai 	不太	c=3 d=0.0447097 t=15065
bu tai dong 	不太懂	c=1 d=1.67216e-19 t=15065
bu tai duo 	不太多	c=1 d=0.00250366 t=15065
bu tai hao 	不太好	c=1 d=0.120633 t=15065
bu tai qing chu 	不太清楚	c=1 d=2.31716e-05 t=15065
bu tai yi yang 	不太一樣	c=2 d=0.290835 t=15065
bu tai you 	不太有	c=1 d=8.90428e-18 t=15065
bu tai zhong yao 	不太重要	c=1 d=1 t=5712
bu tiao xin 	不調薪	c=1 d=4.61174e-13 t=15065
bu tie 	補貼	c=3 d=0.000237407 t=15065
bu tong 	不同	c=3 d=0.841128 t=15065
bu tong de 	不同的	c=1 d=0.840678 t=15065
bu tong de fang shi 	不同的方式	c=1 d=4.19237e-09 t=15065
bu tong nong dan 	不同濃淡	c=1 d=6.06737e-05 t=15065
bu tong qing kuang 	不同情況	c=1 d=2.76359e-18 t=15065
bu tong yi jian 	不同意見	c=0 d=0.00031354 t=15065
bu tui wei 	不推諉	c=1 d=0.00814786 t=15065
bu wen ding 	不穩定	c=1 d=5.88647e-05 t=15065
bu xia 	部下	c=1 d=5.09416e-07 t=15065
bu xiang tong 	不相同	c=0 d=0.0242926 t=15065
bu xing 	不行	c=4 d=0.0621104 t=15065
bu xu yao 	不需要	c=1 d=0.451581 t=15065
bu xuan ze 	不選擇	c=1 d=3.23143e-05 t=15065
bu yao 	不要	c=4 d=0.0556762 t=15065
bu yao ban 	不要搬	c=1 d=0.00290884 t=15065
bu yao chao guo 	不要超過	c=1 d=0.261846 t=15065
bu yao gao 	不要搞	c=1 d=8.61001e-05 t=15065
bu yao lang fei 	不要浪費	c=1 d=1.19267e-14 t=15065
bu yao le 	不要了	c=0 d=1.27255e-13 t=15065
bu yao na me 	不要那麼	c=1 d=9.66756e-15 t=15065
bu yao shao 	不要少	c=1 d=0.00136719 t=15065
bu yao tai tou 	不要擡頭	c=1 d=5.04777e-17 t=15065
bu yao tiao bu 	不要跳步	c=1 d=8.50378e-06 t=15065
bu yao xin suan 	不要心算	c=1 d=6.11357e-06 t=15065
bu yi ding 	不一定	c=1 d=0.00499159 t=15065
bu yi yang 	不一樣	c=1 d=0.000784864 t=15065
bu yi yang de 	不一樣的	c=0 d=0.0657047 t=15065
bu ying gai 	不應該	c=0 d=0.00411719 t=15065
bu ying gai hua shi jian qu zuo 	不應該花時間去做	c=1 d=0.0413782 t=15065
bu ying gai yi dian fan ying ye mei you 	不應該一點反應也沒有	c=1 d=0.00271219 t=15065
bu yong 	不用	c=6 d=0.810584 t=15065
bu yong chuang jian 	不用創建	c=1 d=0.814647 t=15065
bu yong dan du an pai shi jian 	不用但都安排時間	c=1 d=0.00050296 t=15065
bu yong dan xin 	不用擔心	c=1 d=0.00710054 t=15065
bu yong jiao dai de zhi xiang 	不用膠帶的紙箱	c=1 d=1.99162e-17 t=15065
bu yong le ba 	不用了吧	c=1 d=0.159614 t=15065
bu yong qiang de 	不用搶的	c=1 d=3.2577e-12 t=15065
bu yuan yi 	不願意	c=1 d=6.4015e-18 t=15065
bu zai 	不再	c=3 d=0.224937 t=15065
bu zai 	不在	c=5 d=0.133989 t=15065
bu zai fan wei nei 	不在範圍內	c=1 d=1.34126e-13 t=15065
bu zai li mian 	不在裏面	c=1 d=5.86567e-19 t=15065
bu zai xian 	不在線	c=1 d=0.00704808 t=15065
bu zhao ji 	不着急	c=1 d=0.0298969 t=15065
bu zhi 	不值	c=1 d=0.110803 t=15065
bu zhi 	佈置	c=0 d=0.0144424 t=15065
bu zhi chi 	不支持	c=2 d=0.418952 t=15065
bu zhi dao 	不知道	c=5 d=0.000163287 t=15065
bu zhi dao ne 	不知道呢	c=1 d=6.09136e-22 t=15065
bu zhi dao xu yao wo zuo shen me 	不知道需要我做什麼	c=1 d=4.44314e-16 t=15065
bu zhong yao 	不重要	c=0 d=0.1 t=5749
bu zhou 	步驟	c=4 d=0.117986 t=15065
bu zou 	不走	c=0 d=0.0154896 t=15065
bu zu 	不足	c=2 d=0.0054204 t=15065
bu zuo 	不做	c=0 d=1.73981e-16 t=15065
ca 	擦	c=0 d=1.10382e-16 t=15065
ca chu 	擦除	c=0 d=1.21676e-15 t=15065
ca le 	擦了	c=0 d=1.10382e-16 t=15065
ca le xie xie le ca 	擦了寫寫了擦	c=1 d=1.10935e-15 t=15065
cai 	才	c=1 d=0.00113627 t=15065
cai 	菜	c=0 d=1.27255e-13 t=15065
cai bu yao le 	菜不要了	c=1 d=1.27893e-12 t=15065
cai dui 	纔對	c=0 d=4.3559e-19 t=15065
cai dui a 	纔對啊	c=1 d=4.37774e-18 t=15065
cai gou 	採購	c=1 d=0.000710174 t=15065
cai hong 	彩虹	c=1 d=2.41418e-16 t=15065
cai liao 	材料	c=4 d=0.102555 t=15065
cai neng 	才能	c=2 d=0.671748 t=15065
cai neng dui 	才能對	c=1 d=0.0505395 t=15065
cai neng jian li xin li biao zheng 	才能建立心理表徵	c=1 d=0.941765 t=15065
cai pai 	彩排	c=2 d=4.32077e-15 t=15065
cai shi 	纔是	c=2 d=8.27673e-10 t=15065
cai wu 	財務	c=1 d=3.69271e-16 t=15065
cai wu 	財物	c=0 d=5.54516e-06 t=15065
cai yong 	採用	c=1 d=5.63663e-21 t=15065
cai zheng 	財政	c=1 d=7.9084e-05 t=15065
can guan 	參觀	c=2 d=0.0002817 t=15065
can hui 	參會	c=1 d=4.02237e-22 t=15065
can jia 	參加	c=10 d=1.18868 t=15065
can jia guo 	參加過	c=1 d=5.5758e-11 t=15065
can jia yi xia 	參加一下	c=1 d=0.00023056 t=15065
can jian 	參見	c=2 d=2.79921e-06 t=15065
can kao 	參考	c=4 d=0.635023 t=15065
can kao zi liao 	參考資料	c=6 d=3.46458 t=5274
can shu 	參數	c=5 d=0.836822 t=15065
can yin 	餐飲	c=0 d=3.98099e-19 t=15065
can yu 	參與	c=3 d=0.00599445 t=15065
can yu de ren yuan de ming dan 	參與的人員的名單	c=1 d=0.00562801 t=15065
can yu du 	參與度	c=1 d=2.20985e-05 t=15065
can yu ren yuan 	參與人員	c=2 d=0.0652199 t=15065
cang 	藏	c=0 d=5.17556e-18 t=15065
cang cu 	倉促	c=0 d=4.31931e-08 t=15065
cao gao 	草稿	c=2 d=0.00852289 t=15065
cao gao zhi 	草稿紙	c=1 d=8.29382e-06 t=15065
cao ni 	草擬	c=1 d=0.000588705 t=15065
cao zong 	操縱	c=1 d=0.618783 t=15065
cao zuo 	操作	c=2 d=0.0858361 t=15065
cao zuo lei si 	操作類似	c=1 d=0.847894 t=15065
ce 	側	c=0 d=5.54516e-06 t=15065
ce 	測	c=0 d=0.00461896 t=15065
ce liang 	測量	c=0 d=0.0172045 t=15065
ce liang zhi biao 	測量指標	c=1 d=0.172907 t=15065
ce shi 	測試	c=10 d=0.344504 t=15065
ce shi gong zuo 	測試工作	c=1 d=4.93336e-12 t=15065
ce shi he yan shi huan jing 	測試和演示環境	c=1 d=1 t=5140
ce shi huan jing 	測試環境	c=1 d=2.76745e-05 t=15065
ce shi ti 	測試題	c=1 d=7.77716e-14 t=15065
ce shi xi tong 	測試系統	c=2 d=1.91425 t=5353
ce shi xi tong wu fa 	測試系統無法	c=1 d=1 t=5354
ce shi yong li 	測試用例	c=1 d=3.87268e-17 t=15065
ce wan le 	測完了	c=1 d=0.0464212 t=15065
ceng 	層	c=3 d=0.000135551 t=15065
ceng jing 	曾經	c=3 d=0.198498 t=15065
ceng jing zuo guo 	曾經做過	c=1 d=5.49746e-21 t=15065
cha 	差	c=4 d=0.0374406 t=15065
cha 	查	c=1 d=2.03642e-14 t=15065
cha bie 	差別	c=0 d=0.00812682 t=15065
cha che 	叉車	c=0 d=1.59256e-05 t=15065
cha e 	差額	c=1 d=4.00926e-13 t=15065
cha hua hui 	茶話會	c=1 d=0.0270518 t=15065
cha jian 	插件	c=2 d=0.105005 t=15065
cha kan 	查看	c=1 d=0.000104638 t=15065
cha qu 	插曲	c=1 d=0.0072265 t=15065
cha xun 	查詢	c=1 d=1 t=5685
chai jian 	拆建	c=1 d=4.67905e-07 t=15065
chai jie 	拆解	c=1 d=1.74283e-06 t=15065
chai yi chai 	拆一拆	c=1 d=4.60062e-14 t=15065
chan chu 	產出	c=1 d=0.0153752 t=15065
chan huo 	摻和	c=1 d=1.67159e-15 t=15065
chan liang 	產量	c=0 d=0.1 t=5467
chan pin 	產品	c=6 d=0.0730001 t=15065
chan sheng 	產生	c=1 d=0.145295 t=15065
chan sheng ci xing 	產生磁性	c=1 d=1 t=5502
chan sheng de bu fen 	產生的部分	c=1 d=1.10897e-11 t=15065
chan shu 	闡述	c=0 d=3.80194e-07 t=15065
chan shu qi ye zong he neng li 	闡述企業綜合能力	c=1 d=3.82099e-06 t=15065
chan zui 	饞嘴	c=0 d=0.1 t=5633
chan zui de xiao hai yao le yi kou 	饞嘴的小孩咬了一口	c=1 d=1 t=5634
chang 	長	c=1 d=0.552618 t=15065
chang dao 	倡導	c=1 d=0.0109436 t=15065
chang di 	場地	c=2 d=0.000439444 t=15065
chang du 	長度	c=1 d=0.000365224 t=15065
chang duan 	長短	c=1 d=0.0916297 t=15065
chang heng xian 	長橫線	c=3 d=0.0153002 t=15065
chang jian 	常見	c=0 d=5.18366e-07 t=15065
chang jian cuo wu 	常見錯誤	c=1 d=5.20964e-06 t=15065
chang jie tu 	長截圖	c=1 d=0.65377 t=15065
chang jing 	場景	c=1 d=0.369723 t=15065
chang qi 	長期	c=1 d=0.0642483 t=15065
chang qi ji yi 	長期記憶	c=1 d=2.867e-09 t=15065
chang qi kan 	長期看	c=1 d=0.571209 t=15065
chang qing 	常青	c=1 d=3.59102e-11 t=15065
chang san jiao 	長三角	c=2 d=0.0403566 t=15065
chang shi 	嘗試	c=6 d=0.00519889 t=15065
chang shi ji yi 	長時記憶	c=4 d=0.923116 t=15065
chang shi zai mei yi ge xi jie zhong fa xian xin de yi yi 	嘗試在每一個細節中發現新的意義	c=1 d=4.32005e-09 t=15065
chang tai 	長泰	c=1 d=2.02137e-15 t=15065
chang yi xie 	長一些	c=1 d=1.28866e-13 t=15065
chang yong 	常用	c=6 d=0.145876 t=15065
chang yong qiao suan 	常用巧算	c=1 d=4.57456e-06 t=15065
chang yong xiu shi fu 	常用修飾符	c=1 d=3.13646e-07 t=15065
chao 	抄	c=0 d=7.69454e-07 t=15065
chao 	超	c=0 d=0.0369723 t=15065
chao chen tuo su 	超塵脫俗	c=1 d=1 t=5674
chao cuo 	抄錯	c=2 d=2.71512e-05 t=15065
chao cuo da an 	抄錯答案	c=1 d=1.40204e-05 t=15065
chao cuo tiao jian 	抄錯條件	c=1 d=7.73311e-06 t=15065
chao dao ti 	超導體	c=0 d=0.1 t=5526
chao dao ti de wan quan kang ci xing 	超導體的完全抗磁性	c=1 d=1 t=5527
chao duo shao 	超多少	c=1 d=7.83371e-11 t=15065
chao guo 	超過	c=2 d=0.170333 t=15065
chao qiang 	超強	c=0 d=0.1 t=5475
chao qiang xi li 	超強吸力	c=2 d=1.96561 t=5483
chao ran 	超然	c=1 d=8.59948e-20 t=15065
chao song 	抄送	c=1 d=0.965605 t=15065
chao xiang 	朝向	c=1 d=4.67826e-05 t=15065
che 	車	c=0 d=0.1 t=5609
che di 	徹底	c=0 d=1.93308e-20 t=15065
che shen 	車身	c=0 d=0.1 t=5455
chen 	塵	c=0 d=0.1 t=5673
chen 	沉	c=0 d=0.1 t=5625
chen 	趁	c=0 d=4.04172e-17 t=15065
chen dian 	沉澱	c=1 d=0.000288735 t=15065
chen mo 	沉默	c=1 d=2.58967e-18 t=15065
chen qi 	陳麒	c=5 d=0.24021 t=15065
chen rong liang 	陳榮良	c=1 d=3.20811e-08 t=15065
chen shu 	陳述	c=1 d=0.008271 t=15065
chen si jia 	陳思嘉	c=1 d=4.94866e-19 t=15065
chen yao 	陳瑤	c=2 d=8.22322e-16 t=15065
chen zhe ge ji hui 	趁這個機會	c=1 d=4.06072e-16 t=15065
cheng 	乘	c=1 d=0.594521 t=15065
cheng 	成	c=4 d=0.037559 t=15065
cheng 	稱	c=0 d=0.00204453 t=15065
cheng ben 	成本	c=8 d=0.0211189 t=15065
cheng ben di kou 	成本抵扣	c=2 d=0.00016199 t=15065
cheng du 	程度	c=1 d=0.139937 t=15065
cheng dui 	成對	c=1 d=0.017953 t=15065
cheng fa 	乘法	c=1 d=5.7149e-06 t=15065
cheng fa 	懲罰	c=0 d=1.14216e-06 t=15065
cheng fa biao 	乘法表	c=0 d=4.83321e-07 t=15065
cheng fa he jiang li 	懲罰和獎勵	c=1 d=1.14789e-05 t=15065
cheng fa kou jue 	乘法口訣	c=1 d=4.55174e-06 t=15065
cheng fa yuan li 	乘法原理	c=1 d=4.03704e-06 t=15065
cheng fa yun suan 	乘法運算	c=1 d=1.53804e-06 t=15065
cheng gong 	成功	c=5 d=0.31907 t=15065
cheng gong yan shi 	成功演示	c=1 d=0.000126534 t=15065
cheng guo 	成果	c=4 d=0.619601 t=15065
cheng hao 	乘號	c=1 d=1.55752e-07 t=15065
cheng hu 	稱呼	c=0 d=0.00374406 t=15065
cheng ji 	成績	c=2 d=0.447038 t=15065
cheng ji hao 	成績好	c=1 d=1 t=5716
cheng jian 	成建	c=1 d=0.00217658 t=15065
cheng jiu 	成就	c=0 d=0.0319819 t=15065
cheng jiu gan 	成就感	c=1 d=0.265803 t=15065
cheng jiu wei dao xiang 	成就爲導向	c=1 d=0.321422 t=15065
cheng li 	成立	c=1 d=5.14449e-05 t=15065
cheng nian 	成年	c=0 d=0.1 t=5486
cheng pin 	成品	c=2 d=1.73007 t=15065
cheng qing 	澄清	c=0 d=1.26861e-06 t=15065
cheng qing yi xia 	澄清一下	c=1 d=1.27497e-05 t=15065
cheng ren 	成人	c=3 d=0.345827 t=15065
cheng ren 	承認	c=1 d=1.26401e-21 t=15065
cheng shi 	城市	c=0 d=0.0338971 t=15065
cheng shu 	成熟	c=0 d=0.0280344 t=15065
cheng shu de 	成熟的	c=1 d=0.142987 t=15065
cheng wei 	成爲	c=3 d=0.147219 t=15065
cheng wei bu tong de 	成爲不同的	c=1 d=0.677057 t=15065
cheng wei yi ge 	成爲一個	c=0 d=0.1 t=5597
cheng xu 	程序	c=2 d=0.0378167 t=15065
cheng yu 	成語	c=1 d=4.69356e-14 t=15065
cheng yuan 	成員	c=3 d=0.453845 t=15065
cheng yuan bian liang 	成員變量	c=2 d=0.234811 t=15065
cheng yuan fang fa 	成員方法	c=1 d=0.117068 t=15065
cheng zhang 	成長	c=2 d=0.0300509 t=15065
chi 	吃	c=1 d=4.19029e-17 t=15065
chi 	斥	c=1 d=1.40739e-06 t=15065
chi 	癡	c=1 d=9.5039e-20 t=15065
chi cun 	尺寸	c=1 d=8.74013e-05 t=15065
chi ge fan 	喫個飯	c=0 d=4.60297e-21 t=15065
chi ge fan ba 	喫個飯吧	c=1 d=4.62604e-20 t=15065
chi jiu 	持久	c=0 d=0.165066 t=15065
chi jiu hua 	持久化	c=2 d=1.80764 t=15065
chi jiu hua 	持久話	c=1 d=0.802519 t=15065
chi le 	遲了	c=0 d=1.62219e-16 t=15065
chi wan fan 	喫完飯	c=1 d=2.62247e-19 t=15065
chi wan fan 	喫晚飯	c=0 d=0.000618889 t=15065
chi wan fan le 	喫晚飯了	c=1 d=0.00621991 t=15065
chi xu 	持續	c=0 d=0.00135009 t=15065
chi xu yun ying 	持續運營	c=1 d=0.0135686 t=15065
chi you 	持有	c=1 d=0.264477 t=15065
chi yu mi 	吃玉米	c=1 d=4.18439e-16 t=15065
chi zi 	尺子	c=1 d=5.75754e-06 t=15065
chong bai 	崇拜	c=0 d=0.0287941 t=15065
chong dian 	充電	c=0 d=0.000408677 t=15065
chong dian bao 	充電寶	c=2 d=0.0247235 t=15065
chong fen 	充分	c=3 d=0.0906464 t=15065
chong fen biao xian chu 	充分表現出	c=1 d=1.10078e-12 t=15065
chong fu 	重複	c=2 d=0.0037068 t=15065
chong man 	充滿	c=1 d=0.0885056 t=15065
chong man lian jie 	充滿連接	c=1 d=0.0808629 t=15065
chong po 	衝破	c=0 d=0.1 t=5657
chong qi 	重啓	c=0 d=3.54979e-05 t=15065
chong qi xia 	重啓下	c=1 d=0.000170803 t=15065
chong qi yi xia 	重啓一下	c=2 d=0.000399857 t=15065
chong sheng 	重生	c=0 d=0.1 t=5658
chong tu 	衝突	c=0 d=2.79535e-18 t=15065
chong tu le 	衝突了	c=1 d=8.18147e-22 t=15065
chong xin 	重新	c=7 d=0.998803 t=15065
chong xin an pai 	重新安排	c=1 d=0.000575656 t=15065
chong xin hui yi qi 	重新回憶起	c=1 d=2.35907e-09 t=15065
chong xin kao lv 	重新考慮	c=1 d=6.74139e-09 t=15065
chong xin kao lv zheng ge 	重新考慮整個	c=1 d=6.3488e-09 t=15065
chong yong 	重用	c=1 d=0.147342 t=15065
chong zu 	充足	c=0 d=0.0255381 t=15065
chong zu shui mian 	充足睡眠	c=1 d=0.256661 t=15065
chou 	抽	c=1 d=0.000182274 t=15065
chou kong 	抽空	c=1 d=6.16012e-07 t=15065
chou xiang 	抽象	c=0 d=0.0362402 t=15065
chu 	出	c=1 d=0.0178173 t=15065
chu 	初	c=0 d=2.73284e-05 t=15065
chu 	觸	c=1 d=4.4501e-05 t=15065
chu bu 	初步	c=1 d=0.00327124 t=15065
chu bu gan jue 	初步感覺	c=1 d=0.0328764 t=15065
chu bu she xiang 	初步設想	c=0 d=5.84356e-05 t=15065
chu bu she xiang de bu zhou 	初步設想的步驟	c=1 d=0.000587285 t=15065
chu chai 	出差	c=1 d=4.17501e-19 t=15065
chu cheng ji 	出成績	c=1 d=1.5201e-15 t=15065
chu ci 	初次	c=0 d=4.11789e-05 t=15065
chu ci shi yong 	初次使用	c=1 d=0.000413853 t=15065
chu cuo 	出錯	c=2 d=2.61075e-05 t=15065
chu cuo le 	出錯了	c=1 d=0.00475963 t=15065
chu diao 	出掉	c=1 d=0.035437 t=15065
chu diao 	除掉	c=1 d=0.537944 t=15065
chu fa 	出發	c=0 d=0.00332068 t=15065
chu fa 	除法	c=1 d=6.0347e-06 t=15065
chu fa di 	出發地	c=0 d=2.91736e-09 t=15065
chu fa di dian 	出發地點	c=1 d=2.93199e-08 t=15065
chu fei 	除非	c=4 d=0.00851449 t=15065
chu gao 	初稿	c=2 d=0.0253494 t=15065
chu ge ren 	出個人	c=1 d=9.18981e-07 t=15065
chu ji 	初級	c=1 d=5.38128e-05 t=15065
chu ji xun lian 	初級訓練	c=1 d=8.75055e-19 t=15065
chu lai 	出來	c=7 d=0.145513 t=15065
chu lai le 	出來了	c=1 d=1.22815e-06 t=15065
chu le 	除了	c=2 d=0.0399551 t=15065
chu li 	處理	c=4 d=0.0765355 t=15065
chu li guo cheng 	處理過程	c=1 d=0.00771183 t=15065
chu li jie guo 	處理結果	c=1 d=2.66945e-22 t=15065
chu li le 	處理了	c=1 d=0.159614 t=15065
chu li wan cheng 	處理完成	c=1 d=2.51399e-22 t=15065
chu li yi chang 	處理異常	c=1 d=0.137381 t=15065
chu li zhu shou 	處理助手	c=1 d=1 t=5406
chu qi 	初期	c=1 d=0.557106 t=15065
chu qiang lai 	出牆來	c=1 d=2.66899e-20 t=15065
chu qin 	出勤	c=1 d=9.59288e-12 t=15065
chu qin lv 	出勤率	c=1 d=9.83572e-12 t=15065
chu qu 	出去	c=0 d=1.06054e-16 t=15065
chu qu da da qiu ba 	出去打打球吧	c=1 d=1.06585e-15 t=15065
chu qu zou zou 	出去走走	c=1 d=0.000539429 t=15065
chu se 	出色	c=0 d=0.000184551 t=15065
chu se biao xian 	出色表現	c=1 d=0.00185476 t=15065
chu wen ti 	出問題	c=1 d=2.08895e-05 t=15065
chu wen ti le 	出問題了	c=1 d=0.000205513 t=15065
chu xi 	出席	c=1 d=2.23974e-16 t=15065
chu xia 	初夏	c=1 d=1.37213e-16 t=15065
chu xian 	出現	c=3 d=0.00528154 t=15065
chu xian de wen ti 	出現的問題	c=1 d=0.0102549 t=15065
chu xian zai 	出現在	c=2 d=3.08284e-10 t=15065
chu zhong 	初中	c=5 d=3.08589 t=15065
chu zhong 	初衷	c=0 d=6.46693e-21 t=15065
chuan 	串	c=0 d=0.00376283 t=15065
chuan 	傳	c=1 d=1.04638e-05 t=15065
chuan 	川	c=2 d=0.000152401 t=15065
chuan bo gei 	傳播給	c=1 d=1.49798e-19 t=15065
chuan da 	傳達	c=1 d=1.12807e-06 t=15065
chuan gan qi 	傳感器	c=5 d=0.101812 t=15065
chuan hao le 	傳好了	c=1 d=0.000105163 t=15065
chuan jiang 	船槳	c=0 d=1.51881e-06 t=15065
chuan kou 	串口	c=1 d=0.00814786 t=15065
chuan qi 	傳奇	c=1 d=0.000284437 t=15065
chuan tong 	傳統	c=0 d=0.083527 t=15065
chuan xing 	串行	c=1 d=0.00759701 t=15065
chuan yu 	傳宇	c=1 d=1.51958e-11 t=15065
chuang jian 	創建	c=4 d=0.566073 t=15065
chuang jian bao jia dan 	創建報價單	c=2 d=0.0875977 t=15065
chuang jian yi ge 	創建一個	c=2 d=0.831847 t=15065
chuang xin 	創新	c=1 d=0.102362 t=15065
chuang xin ben shen 	創新本身	c=1 d=0.50409 t=15065
chuang xin guo cheng 	創新過程	c=1 d=0.524663 t=15065
chuang xin xing 	創新性	c=1 d=6.5727e-05 t=15065
chuang zuo 	創作	c=1 d=2.55642e-13 t=15065
chui chui 	垂垂	c=0 d=0.1 t=5614
chui niu 	吹牛	c=0 d=0.00072265 t=15065
chui zhi 	垂直	c=1 d=8.78394e-05 t=15065
chun 	純	c=0 d=0.0442639 t=15065
chun han shu 	純函數	c=1 d=0.103312 t=15065
chun jie 	春節	c=3 d=0.0178634 t=15065
chun kai fa 	純開發	c=1 d=0.444858 t=15065
ci 	次	c=0 d=4.61253e-16 t=15065
ci 	此	c=1 d=0.0347353 t=15065
ci 	磁	c=0 d=0.1 t=5491
ci 	詞	c=1 d=0.00690852 t=15065
ci bei 	慈悲	c=1 d=8.4319e-20 t=15065
ci chuan 	刺穿	c=0 d=0.1 t=5579
ci chuan yun xia 	刺穿雲霞	c=1 d=1 t=5580
ci ci 	此次	c=1 d=0.346456 t=15065
ci fu 	磁浮	c=0 d=0.1 t=5527
ci ji 	磁極	c=1 d=1 t=5416
ci li 	磁力	c=1 d=0.995834 t=5468
ci mei shan mu 	慈眉善目	c=1 d=4.78919e-16 t=15065
ci pin 	詞頻	c=3 d=2.71453 t=15065
ci shu 	次數	c=0 d=8.89822e-11 t=15065
ci tie 	磁鐵	c=5 d=4.00594 t=5523
ci tie de chan liang hen shao 	磁鐵的產量很少	c=1 d=1 t=5468
ci xing 	磁性	c=1 d=1.10218 t=5526
ci xuan fu 	磁懸浮	c=1 d=0.726345 t=5557
ci xuan fu li yong 	磁懸浮利用	c=1 d=1 t=5449
ci xuan fu lie che 	磁懸浮列車	c=2 d=2.28314 t=5565
ci xuan fu lie che hua fei cheng ben tai gao 	磁懸浮列車花費成本太高	c=1 d=1 t=5562
ci xuan fu lie che jiu hui bu ru wo men de sheng huo 	磁懸浮列車就會步入我們的生活	c=1 d=1 t=5566
ci xuan fu lie che shi you xuan fu xi tong 	磁懸浮列車是由懸浮系統	c=1 d=1 t=5408
ci xuan fu lie che wei shen me wu fa cheng wei min zhong ri chang jiao tong gong ju 	磁懸浮列車爲什麼無法成爲民衆日常交通工具	c=1 d=1 t=5561
ci yan 	刺眼	c=0 d=0.1 t=5581
ci yao 	次要	c=0 d=8.91973e-10 t=15065
ci yao xi jie 	次要細節	c=1 d=8.96444e-09 t=15065
cong 	從	c=14 d=1.00233 t=15065
cong bu tong de 	從不同的	c=1 d=5.58894e-09 t=15065
cong bu tong de fang mian kao lv ni de jie da 	從不同的方面考慮你的解答	c=1 d=1.14532e-08 t=15065
cong bu tong de jiao du 	從不同的角度	c=1 d=4.2345e-09 t=15065
cong can shu 	從參數	c=1 d=0.382893 t=15065
cong chuan tong jiao xue fa 	從傳統教學法	c=1 d=0.839457 t=15065
cong er 	從而	c=1 d=0.010435 t=15065
cong er qian yin 	從而牽引	c=1 d=1 t=5421
cong er yin dao ni 	從而引導你	c=1 d=7.19413e-09 t=15065
cong ge ge fang mian 	從各個方面	c=1 d=3.87004e-09 t=15065
cong mang 	匆忙	c=0 d=0.000212284 t=15065
cong ming nian 	從明年	c=1 d=2.19577e-18 t=15065
cong na li kai shi 	從哪裏開始	c=1 d=1.10041e-08 t=15065
cong ni de jie da kai shi 	從你的解答開始	c=1 d=1.11147e-08 t=15065
cong shi 	從事	c=1 d=0.429557 t=15065
cong ti mu de xu shu kai shi 	從題目的敘述開始	c=1 d=1.89319e-09 t=15065
cong xue tu chu fa 	從學徒出發	c=1 d=0.0333733 t=15065
cong ye zhe 	從業者	c=1 d=0.178173 t=15065
cong yi 	從一	c=0 d=0.1 t=5626
cong yi ge 	從一個	c=1 d=0.373439 t=15065
cong yi ge jin pan zi 	從一個金盤子	c=1 d=1 t=5627
cou 	湊	c=1 d=1.60081e-06 t=15065
cou zheng 	湊整	c=3 d=4.55821e-06 t=15065
cu jin 	促進	c=4 d=0.00140248 t=15065
cu jin zuo yong 	促進作用	c=1 d=0.000239969 t=15065
cu xin 	粗心	c=1 d=1.30098e-05 t=15065
cui 	催	c=1 d=1.15364e-05 t=15065
cui 	崔	c=0 d=4.68957e-05 t=15065
cui cui 	催催	c=2 d=9.26733e-06 t=15065
cui hong xia 	崔紅霞	c=1 d=0.000471307 t=15065
cun 	寸	c=1 d=9.18825e-05 t=15065
cun fang zai 	存放在	c=0 d=0.00645703 t=15065
cun fang zai chang shi ji yi zhong 	存放在長時記憶中	c=1 d=0.064894 t=15065
cun zai 	存在	c=1 d=0.0683861 t=15065
cun zhu 	存貯	c=2 d=3.18204e-22 t=15065
cun zuo 	存坐	c=1 d=1.74734e-07 t=15065
cuo 	錯	c=0 d=7.69454e-07 t=15065
cuo le 	錯了	c=0 d=4.27779e-12 t=15065
cuo shi 	措施	c=0 d=0.1 t=5351
cuo wei 	錯位	c=0 d=1.6998e-07 t=15065
cuo wei di xiao 	錯位抵消	c=1 d=1.70832e-06 t=15065
cuo wu 	錯誤	c=1 d=0.167538 t=15065
cuo wu lei xing 	錯誤類型	c=1 d=1.34034e-05 t=15065
cuo wu tong ji 	錯誤統計	c=1 d=1.43753e-05 t=15065
da 	大	c=3 d=0.000736206 t=15065
da 	打	c=0 d=7.53844e-14 t=15065
da an 	答案	c=5 d=1.4273e-05 t=15065
da bao 	打包	c=2 d=1.58672e-18 t=15065
da biao 	大表	c=0 d=9.66427e-12 t=15065
da biao qian 	打標籤	c=1 d=1.19636e-21 t=15065
